S,T,Magnitude,X,Y,Temperature
111,101,0.040611655,-0.6214115,-0.7834843,0.8855555
112,101,0.023087943,-0.9397117,0.3419678,0.8790326
113,101,0.023087943,0.0370482,-0.9993135,0.8778831
114,101,0.023087943,0.6137943,0.789466,0.8731514
115,101,0.023087943,0.7845127,-0.6201127,0.870862
116,101,0.021702679,0.9996794,-0.0253214,0.8722318
117,101,0.021702679,0.3497012,-0.9368613,0.8703831
118,101,0.021702679,-0.8674806,-0.497471,0.8672796
119,101,0.021702679,0.660956,-0.7504247,0.8616379
120,101,0.04199292,0.7501951,-0.6612164,0.8656226
121,101,0.02199292,0.0130422,-0.9999149,0.8622892
122,101,0.00199292,0.2416381,-0.9703665,0.8592049
123,101,0.04199292,0.7830777,-0.6219238,0.8562931
124,101,0.024343116,0.7220832,-0.6918063,0.8555173
125,101,0.044343116,0.9337476,-0.3579322,0.8513218
126,101,0.084343116,0.8202271,-0.5720381,0.8536686
127,101,0.064343116,0.9944348,0.1053535,0.8503927
128,101,0.053942641,0.999464,-0.032736,0.8482758
129,101,0.053942641,0.9953358,-0.0964706,0.8498946
130,101,0.063792368,0.964119,-0.2654707,0.8420977
131,101,0.063792368,0.9567379,-0.2909513,0.8361686
132,101,0.038503292,0.9011048,-0.4336014,0.8386877
133,101,0.038503292,0.9864111,-0.1642959,0.8386015
134,101,0.048493606,0.9322798,-0.3617381,0.8301916
135,101,0.048493606,0.982913,-0.184071,0.8292816
136,101,0.035361704,0.9956428,-0.0932488,0.8328544
137,101,0.055361704,0.7376246,-0.675211,0.8270019
138,101,0.044289424,0.896808,-0.4424201,0.8260536
139,101,0.044289424,0.9981543,0.0607279,0.8209195
140,101,0.034800247,0.9829627,-0.1838052,0.8188218
141,101,0.014800247,0.592133,-0.8058403,0.8161015
142,101,0.013908498,0.3330348,-0.9429145,0.8057758
143,101,0.033908498,0.7000757,-0.7140686,0.8016571
144,101,0.03743274,0.9594131,-0.2820046,0.7988027
145,101,0.03743274,0.9440321,-0.3298536,0.7930747
146,101,0.037416727,0.9499479,-0.3124084,0.7911302
147,101,0.017416727,0.8797778,-0.4753852,0.7909866
148,101,0.03499977,0.8527114,-0.5223823,0.7850287
149,101,0.05499977,0.9606233,-0.2778542,0.7809291
150,101,0.079555036,0.9981799,-0.0603063,0.7854023
151,101,0.039555036,0.9999728,0.0073756,0.7851532
152,101,0.049553505,0.9223328,-0.3863965,0.7760824
153,101,0.049553505,0.9754944,-0.2200243,0.7753352
154,101,0.033376859,0.4264283,-0.9045214,0.7759387
155,101,0.093376859,0.9919805,0.126391,0.7763026
156,101,0.12966286,0.9999635,0.0085477,0.7688122
157,101,0.06966286,0.9860839,0.1662482,0.7721168
158,101,0.093157767,0.9999567,0.0093072,0.7636302
159,101,0.113157767,0.9964735,0.0839085,0.7487452
160,101,0.15623924,0.9411186,0.3380767,0.7266283
161,101,0.17623924,0.714476,0.6996599,0.7181034
162,101,0.144442745,0.89113,0.453748,0.6866666
163,101,0,0,0,0.6324617
216,101,0,0,0,0.8984483
217,101,0,0,0,0.9174712
218,101,0,0,0,0.9247797
